row	col	weight
X52615	X57475	0.854863390915898
X32328	X33936	0.853890824217717
X32405	X46998	0.853406219558988
X46602	X46363	0.85290091378247
X1110	X37478	0.852563753863182
X61881	X61887	0.852312903649344
X32391	X34424	0.852012660798574
X18494	X18497	0.851425051151071
X52435	X52437	0.850284430243
X35718	X1336	0.850190910494392
X61833	X33442	0.849952653892026
X15336	X47664	0.849493391992204
X53263	X52944	0.849308345961532
X47153	X52436	0.849104315414782
X48491	X57480	0.84874646126087
X18477	X12261	0.847844177054035
X32619	X38170	0.847368484522677
X62287	X44876	0.847269840460921
X36594	X36602	0.847182997737508
X45951	X35628	0.845967028480305
X39603	X48187	0.845709733410034
X61769	X48182	0.84542314376097
X1365	X1361	0.845095413480476
X38768	X1121	0.844886142923485
X48493	X57480	0.8438638265073
X17805	X32417	0.843817233818322
X15676	X22116	0.843585851580377
X61867	X61865	0.842680489832372
X34395	X34389	0.842390637395642
X33971	X32418	0.84226458711505
X27447	X32506	0.84213428618766
X55015	X1301	0.841589474773912
X32980	X17805	0.84107258785169
X62559	X62562	0.840832099270364
X35678	X35669	0.840802395702658
X54955	X54960	0.840437548237031
X38768	X33971	0.839500803354673
X27665	X594	0.839463321563427
X38178	X33936	0.839399853710722
X62798	X31536	0.839329483534006
X54969	X46799	0.839236585790843
X41754	X42382	0.837928240383347
X46657	X46363	0.837571011945788
X22053	X22001	0.837279454756889
X32391	X34395	0.836976835225135
X37198	X37200	0.836786239995274
X37190	X37192	0.836633194367915
X48490	X52435	0.836557813677285
X63683	X62850	0.836420370923928
X569	X18254	0.835794263161254
X62068	X37431	0.835697606087415
X35718	X37478	0.835664281287799
X1589	X2829	0.83555554289375
X45404	X43239	0.835270985254341
X19263	X52446	0.83520963147276
X46115	X32619	0.83508928281296
X32391	X18394	0.834214035809333
X57511	X46223	0.834161007194694
X44681	X34409	0.833248702670257
X32342	X485	0.833189813997397
X32405	X48001	0.833180348044522
X62850	X46398	0.832929077257766
X52687	X52446	0.832698430785162
X52608	X38102	0.832483115163125
X44526	X22116	0.832027683825628
X53263	X53260	0.831995946517098
X57519	X35160	0.831875365740605
X19263	X42448	0.831780910778418
X63683	X62276	0.831749097312091
X38276	X43591	0.831109946628212
X31943	X47014	0.830814169376723
X1572	X20693	0.830151473990592
X485	X46972	0.829824914353519
X63436	X62276	0.828911231366414
X46602	X46683	0.828578384345858
X35635	X47922	0.828571041780918
X38296	X1356	0.828452339999066
X63589	X63681	0.828451086941625
X46295	X46902	0.827902266696645
X47076	X31536	0.827660598327598
X57482	X57479	0.826968383649461
X62798	X49532	0.825549838353537
X34397	X19266	0.825442850978906
X35160	X34409	0.825406173778866
X39600	X47922	0.824836249443474
X47153	X52435	0.824813519704447
X63072	X49532	0.824750321098216
X57518	X57521	0.824647446566415
X54955	X54961	0.82440528431696
X38178	X33941	0.823522491516527
X32980	X1336	0.82314789791076
X37196	X37480	0.823131985941683
X62152	X42463	0.823046530063581
