Tissue	Module	Symbol	is.hub
Adipose	M10	BRIX1	no
Adipose	M10	BRPF1	no
Adipose	M10	BRWD2	no
Adipose	M10	BSDC1	no
Adipose	M10	BTBD7	no
Adipose	M10	BTLA	no
Adipose	M10	BUD31	no
Adipose	M10	BZW1	no
Adipose	M10	C10orf10	no
Adipose	M10	C10orf107	no
Adipose	M10	C10orf11	no
Adipose	M10	C10orf73	no
Adipose	M10	C10orf78	no
Adipose	M10	C11orf10	no
Adipose	M10	C11orf48	no
Adipose	M10	C11orf54	no
Adipose	M10	C11orf59	no
Adipose	M10	C11orf60	no
Adipose	M10	C11orf74	no
Adipose	M10	C11orf84	no
Adipose	M10	C12orf23	no
Adipose	M10	C12orf48	no
Adipose	M10	C12orf68	no
Adipose	M10	C13orf29	no
Adipose	M10	C13orf37	no
Adipose	M10	C14orf100	no
Adipose	M10	C14orf101	no
Adipose	M10	C14orf104	no
Adipose	M10	C14orf124	no
Adipose	M10	C14orf142	no
Adipose	M10	C14orf149	no
Adipose	M10	C14orf159	no
Adipose	M10	C14orf166	no
Adipose	M10	C14orf176	no
Adipose	M10	C15orf34	no
Adipose	M10	C16orf33	no
Adipose	M10	C16orf42	no
Adipose	M10	C16orf69	no
Adipose	M10	C16orf91	no
Adipose	M10	C17orf101	no
Adipose	M10	C17orf108	no
Adipose	M10	C17orf28	no
Adipose	M10	C17orf45	no
Adipose	M10	C17orf48	no
Adipose	M10	C17orf59	no
Adipose	M10	C17orf78	no
Adipose	M10	C17orf81	no
Adipose	M10	C17orf95	no
Adipose	M10	C18orf10	no
Adipose	M10	C18orf18	no
Adipose	M10	C18orf22	no
Adipose	M10	C18orf32	yes
Adipose	M10	C18orf54	no
Adipose	M10	C18orf56	no
Adipose	M10	C18orf8	no
Adipose	M10	C19orf2	no
Adipose	M10	C19orf31	no
Adipose	M10	C19orf38	no
Adipose	M10	C19orf50	no
Adipose	M10	C19orf60	no
Adipose	M10	C19orf63	no
Adipose	M10	C19orf70	no
Adipose	M10	C1GALT1	no
Adipose	M10	C1orf102	no
Adipose	M10	C1orf109	no
Adipose	M10	C1orf115	no
Adipose	M10	C1orf124	no
Adipose	M10	C1orf188	no
Adipose	M10	C1orf189	no
Adipose	M10	C1orf201	no
Adipose	M10	C1orf203	no
Adipose	M10	C1orf212	no
Adipose	M10	C1orf229	no
Adipose	M10	C1orf25	no
Adipose	M10	C1orf26	no
Adipose	M10	C1orf31	no
Adipose	M10	C1orf69	no
Adipose	M10	C1orf95	no
Adipose	M10	C20orf30	no
Adipose	M10	C20orf4	no
Adipose	M10	C20orf43	no
Adipose	M10	C20orf7	no
Adipose	M10	C21orf37	no
Adipose	M10	C21orf51	no
Adipose	M10	C22orf28	no
Adipose	M10	C22orf30	no
Adipose	M10	C22orf40	no
Adipose	M10	C2orf28	no
Adipose	M10	C2orf49	no
Adipose	M10	C2orf55	no
Adipose	M10	C2orf7	no
Adipose	M10	C2orf76	no
Adipose	M10	C3orf19	no
Adipose	M10	C3orf22	no
Adipose	M10	C3orf23	no
Adipose	M10	C3orf35	no
Adipose	M10	C3orf36	no
Adipose	M10	C3orf38	no
Adipose	M10	C3orf41	no
Adipose	M10	C3orf55	no
Adipose	M10	C3orf63	no
Adipose	M10	C4orf10	no
Adipose	M10	C4orf18	no
Adipose	M10	C4orf19	no
Adipose	M10	C4orf41	no
Adipose	M10	C4orf46	no
Adipose	M10	C5orf22	no
Adipose	M10	C5orf30	no
Adipose	M10	C5orf37	no
Adipose	M10	C5orf42	no
Adipose	M10	C5orf44	no
Adipose	M10	C5orf5	no
Adipose	M10	C6orf115	no
Adipose	M10	C6orf120	yes
Adipose	M10	C6orf138	no
Adipose	M10	C6orf167	no
Adipose	M10	C6orf173	no
Adipose	M10	C6orf176	no
Adipose	M10	C6orf182	no
Adipose	M10	C6orf204	no
Adipose	M10	C6orf211	no
Adipose	M10	C6orf61	no
Adipose	M10	C6orf70	no
Adipose	M10	C7	no
Adipose	M10	C7orf23	no
Adipose	M10	C7orf28A	no
Adipose	M10	C7orf36	no
Adipose	M10	C7orf44	no
Adipose	M10	C7orf58	no
Adipose	M10	C7orf59	no
Adipose	M10	C7orf68	no
Adipose	M10	C8orf77	no
Adipose	M10	C9orf102	no
Adipose	M10	C9orf106	no
Adipose	M10	C9orf156	no
Adipose	M10	C9orf82	no
Adipose	M10	C9orf9	no
Adipose	M10	CABLES2	no
Adipose	M10	CACHD1	no
Adipose	M10	CACYBP	no
Adipose	M10	CALB2	no
Adipose	M10	CAMSAP1L1	no
Adipose	M10	CAPN3	no
Adipose	M10	CAPZA1	no
Adipose	M10	CASD1	no
Adipose	M10	CASP10	no
Adipose	M10	CASP2	no
Adipose	M10	CASP3	no
Adipose	M10	CASP7	no
Adipose	M10	CASP8	no
Adipose	M10	CAST	no
Adipose	M10	CAT	no
Adipose	M10	CBR3	no
Adipose	M10	CBR4	no
Adipose	M10	CBY1	no
Adipose	M10	CBY3	no
Adipose	M10	CCDC112	no
Adipose	M10	CCDC123	no
Adipose	M10	CCDC132	no
Adipose	M10	CCDC135	no
Adipose	M10	CCDC151	no
Adipose	M10	CCDC18	no
Adipose	M10	CCDC35	no
Adipose	M10	CCDC43	no
Adipose	M10	CCDC47	no
Adipose	M10	CCDC49	no
Adipose	M10	CCDC59	no
Adipose	M10	CCDC6	no
Adipose	M10	CCDC69	no
Adipose	M10	CCDC72	no
Adipose	M10	CCDC76	no
Adipose	M10	CCDC84	no
Adipose	M10	CCDC85B	no
Adipose	M10	CCDC88A	no
Adipose	M10	CCDC90B	no
Adipose	M10	CCDC91	no
Adipose	M10	CCL26	no
Adipose	M10	CCNB1	no
Adipose	M10	CCNH	yes
Adipose	M10	CCNI	no
Adipose	M10	CCNI2	no
Adipose	M10	CCNJ	no
Adipose	M10	CCNL1	no
Adipose	M10	CCRL1	no
Adipose	M10	CCT6A	no
Adipose	M10	CCT6P1	no
Adipose	M10	CD164	no
Adipose	M10	CD1C	no
Adipose	M10	CD302	no
Adipose	M10	CD58	no
Adipose	M10	CDC14B	no
Adipose	M10	CDC26	no
Adipose	M10	CDC2L6	no
Adipose	M10	CDC37L1	no
Adipose	M10	CDC42	no
Adipose	M10	CDC7	no
Adipose	M10	CDC73	no
Adipose	M10	CDH11	no
Adipose	M10	CDH12	no
Adipose	M10	CDH26	no
Adipose	M10	CDK2	no
Adipose	M10	CDK5RAP3	yes
Adipose	M10	CDKAL1	no
Adipose	M10	CDKN2AIP	no
Adipose	M10	CDO1	no
Adipose	M10	CEBPB	no
Adipose	M10	CENPQ	no
Adipose	M10	CES2	no
Adipose	M10	CFL1	no
Adipose	M10	CGI.96	no
Adipose	M10	CHAC2	no
Adipose	M10	CHCHD1	no
Adipose	M10	CHCHD5	no
Adipose	M10	CHCHD9	no
Adipose	M10	CHMP1B	no
Adipose	M10	CHMP4A	no
Adipose	M10	CHMP5	no
Adipose	M10	CHORDC1	no
Adipose	M10	CHRD	no
Adipose	M10	CHRNB4	no
Adipose	M10	CHSY1	no
Adipose	M10	CICE	no
Adipose	M10	CIDECP	no
Adipose	M10	CINP	no
Adipose	M10	CKAP2	no
Adipose	M10	CKAP5	no
Adipose	M10	CLDN11	no
Adipose	M10	CLEC1A	no
Adipose	M10	CLEC2D	no
Adipose	M10	CLIC2	no
Adipose	M10	CLIP1	no
Adipose	M10	CLIP4	no
Adipose	M10	CLNS1A	no
Adipose	M10	CLPP	no
Adipose	M10	CLTC	yes
Adipose	M10	CLTCL1	no
Adipose	M10	CLUAP1	no
Adipose	M10	CMAS	no
Adipose	M10	CMPK1	no
Adipose	M10	CNBP	yes
Adipose	M10	CNIH4	no
Adipose	M10	CNNM2	no
Adipose	M10	CNOT1	no
Adipose	M10	CNOT2	no
Adipose	M10	CNOT4	no
Adipose	M10	CNOT8	no
Adipose	M10	CNTLN	no
Adipose	M10	CNTN6	no
Adipose	M10	COBL	no
Adipose	M10	COG3	no
Adipose	M10	COG7	no
Adipose	M10	COL23A1	no
Adipose	M10	COL27A1	no
Adipose	M10	COMMD10	no
Adipose	M10	COPS6	no
Adipose	M10	COPS8	no
Adipose	M10	COX4I2	no
Adipose	M10	COX7A2L	no
Adipose	M10	CPEB3	no
Adipose	M10	CPM	no
Adipose	M10	CPNE3	no
Adipose	M10	CPPED1	no
Adipose	M10	CPSF3L	no
Adipose	M10	CPSF4	no
Adipose	M10	CPXM1	no
Adipose	M10	CREBL2	no
Adipose	M10	CRHR1	no
Adipose	M10	CRKL	no
Adipose	M10	CROCCL2	no
Adipose	M10	CRSP2	no
Adipose	M10	CRY1	no
Adipose	M10	CRYBB2	no
Adipose	M10	CRYBG3	no
Adipose	M10	CRYM	no
Adipose	M10	CRYZL1	no
Adipose	M10	CSNK1A1	no
Adipose	M10	CSNK2B	yes
Adipose	M10	CTBP1	no
Adipose	M10	CTCF	no
Adipose	M10	CTDSP1	no
Adipose	M10	CTNNAL1	no
Adipose	M10	CTNNB1	no
Adipose	M10	CTPS2	no
Adipose	M10	CTSO	no
Adipose	M10	CUL1	no
Adipose	M10	CUL4A	yes
Adipose	M10	CXorf24	no
Adipose	M10	CXorf26	no
Adipose	M10	CXorf40B	no
Adipose	M10	CYB5R4	no
Adipose	M10	CYB5RL	no
Adipose	M10	CYHR1	no
Adipose	M10	CYP2E1	no
Adipose	M10	CYP2R1	no
Adipose	M10	CYP2U1	no
Adipose	M10	DAP3	no
Adipose	M10	DARS	no
Adipose	M10	DAZAP2	no
Adipose	M10	DBR1	no
Adipose	M10	DCAF16	no
Adipose	M10	DCBLD2	no
Adipose	M10	DCLRE1A	no
Adipose	M10	DCPS	no
Adipose	M10	DCTN3	no
Adipose	M10	DCTN4	yes
Adipose	M10	DDAH2	no
Adipose	M10	DDB2	no
Adipose	M10	DDHD2	yes
Adipose	M10	DDOST	no
Adipose	M10	DDX12	no
Adipose	M10	DDX18	no
Adipose	M10	DDX20	no
Adipose	M10	DDX24	no
Adipose	M10	DDX59	no
Adipose	M10	DEK	yes
Adipose	M10	DENND3	no
Adipose	M10	DENND4C	no
Adipose	M10	DENR	no
Adipose	M10	DET1	no
Adipose	M10	DHODH	no
Adipose	M10	DHX35	no
Adipose	M10	DHX8	no
Adipose	M10	DICER1	no
Adipose	M10	DIO3	no
Adipose	M10	DISP1	no
Adipose	M10	DKFZP564J102	no
Adipose	M10	DKFZP564O0523	no
Adipose	M10	DKFZp564N2472	no
Adipose	M10	DLG1	no
Adipose	M10	DLX1	no
Adipose	M10	DMPK	no
Adipose	M10	DMXL1	no
Adipose	M10	DNAJA4	no
Adipose	M10	DNAJB4	no
Adipose	M10	DNAJC1	no
Adipose	M10	DNAJC10	no
Adipose	M10	DNAJC25	no
Adipose	M10	DNAJC28	no
Adipose	M10	DNAJC30	no
Adipose	M10	DNAJC8	no
Adipose	M10	DNAL1	no
Adipose	M10	DNASE1L3	no
Adipose	M10	DOCK9	no
Adipose	M10	DPH5	no
Adipose	M10	DPM1	no
Adipose	M10	DPY19L3	no
Adipose	M10	DSC2	no
Adipose	M10	DSCR3	no
Adipose	M10	DSN1	no
Adipose	M10	DTD1	no
Adipose	M10	DUSP27	no
Adipose	M10	DYDC2	no
Adipose	M10	DYM	no
Adipose	M10	DYNC1I2	no
Adipose	M10	DYNC1LI1	no
Adipose	M10	DYNC1LI2	no
Adipose	M10	DYNC2LI1	no
Adipose	M10	DYNLRB1	no
Adipose	M10	E2F6	no
Adipose	M10	EAF1	no
Adipose	M10	EBF3	no
Adipose	M10	ECD	no
Adipose	M10	ECE2	no
Adipose	M10	ECHDC2	no
Adipose	M10	ECSIT	no
Adipose	M10	ECT2	no
Adipose	M10	ECT2L	no
Adipose	M10	EDF1	no
Adipose	M10	EEF2	no
Adipose	M10	EFCAB3	no
Adipose	M10	EFCBP1	no
Adipose	M10	EFHA1	no
Adipose	M10	EFR3A	no
Adipose	M10	EHD2	yes
Adipose	M10	EHD4	no
Adipose	M10	EID2	no
Adipose	M10	EIF1	no
Adipose	M10	EIF1AX	no
Adipose	M10	EIF2A	no
Adipose	M10	EIF2B3	no
Adipose	M10	EIF2S1	no
Adipose	M10	EIF3A	no
Adipose	M10	EIF3I	no
Adipose	M10	EIF3L	no
Adipose	M10	EIF3M	no
Adipose	M10	EIF4E	no
Adipose	M10	EIF4E3	no
Adipose	M10	EIF5A	no
Adipose	M10	EIF5B	no
Adipose	M10	EIF6	no
Adipose	M10	ELL3	no
Adipose	M10	ELOF1	no
Adipose	M10	EML1	no
Adipose	M10	EMX2	no
Adipose	M10	EMX2OS	no
Adipose	M10	ENPP1	no
Adipose	M10	ENPP5	no
Adipose	M10	EPB41	no
Adipose	M10	EPB41L5	no
Adipose	M10	EPC1	no
Adipose	M10	EPHX2	no
Adipose	M10	EPM2A	no
Adipose	M10	EPN1	no
Adipose	M10	EPS8	no
Adipose	M10	ERAL1	no
Adipose	M10	ERCC3	no
Adipose	M10	ERGIC2	no
Adipose	M10	ERGIC3	yes
Adipose	M10	ERMAP	no
Adipose	M10	ERMP1	no
Adipose	M10	ERVWE1	no
Adipose	M10	ESR2	no
Adipose	M10	ESYT1	no
Adipose	M10	ETF1	no
Adipose	M10	ETFB	yes
Adipose	M10	ETV2	no
Adipose	M10	EXOC1	no
Adipose	M10	EXOC2	no
Adipose	M10	EXOC6	no
Adipose	M10	EXOG	no
Adipose	M10	EXOSC4	no
Adipose	M10	EXOSC5	no
Adipose	M10	EXOSC8	no
Adipose	M10	EXOSC9	no
Adipose	M10	EXT1	no
Adipose	M10	EXTL3	no
Adipose	M10	F11R	no
Adipose	M10	F3	no
Adipose	M10	F8A3	no
Adipose	M10	FAHD2A	no
Adipose	M10	FAHD2B	no
Adipose	M10	FAM102B	no
Adipose	M10	FAM103A1	no
Adipose	M10	FAM104A	no
Adipose	M10	FAM107A	no
Adipose	M10	FAM108A3	no
Adipose	M10	FAM108C1	no
Adipose	M10	FAM10A7	no
Adipose	M10	FAM111A	no
Adipose	M10	FAM116B	no
Adipose	M10	FAM118B	no
Adipose	M10	FAM120A	no
Adipose	M10	FAM135A	no
Adipose	M10	FAM13B	no
Adipose	M10	FAM149A	no
Adipose	M10	FAM162A	yes
Adipose	M10	FAM166A	no
Adipose	M10	FAM168B	no
Adipose	M10	FAM172A	no
Adipose	M10	FAM174A	no
Adipose	M10	FAM21D	no
Adipose	M10	FAM22D	no
Adipose	M10	FAM26F	no
Adipose	M10	FAM35A	no
Adipose	M10	FAM38A	no
Adipose	M10	FAM45B	no
Adipose	M10	FAM48A	no
Adipose	M10	FAM49B	no
Adipose	M10	FAM54B	no
Adipose	M10	FAM75B	no
Adipose	M10	FAM76A	no
Adipose	M10	FAM8A1	no
Adipose	M10	FAM92A1	no
Adipose	M10	FAM98A	yes
Adipose	M10	FAM98B	no
Adipose	M10	FANCI	no
Adipose	M10	FAS	no
Adipose	M10	FASTK	no
Adipose	M10	FASTKD2	no
Adipose	M10	FAT1	no
Adipose	M10	FBXL17	no
Adipose	M10	FBXL2	no
Adipose	M10	FBXL6	no
Adipose	M10	FBXL8	no
Adipose	M10	FBXO22	no
Adipose	M10	FBXO3	yes
Adipose	M10	FBXO31	no
Adipose	M10	FBXO34	no
Adipose	M10	FBXO42	no
Adipose	M10	FBXO43	no
Adipose	M10	FBXO5	no
Adipose	M10	FBXO9	no
Adipose	M10	FCHSD1	no
Adipose	M10	FCN3	no
Adipose	M10	FDPS	no
Adipose	M10	FGF12	no
Adipose	M10	FGF13	no
Adipose	M10	FGF7	no
Adipose	M10	FGF9	no
Adipose	M10	FGGY	no
Adipose	M10	FH	no
Adipose	M10	FIG4	no
Adipose	M10	FIT1	no
Adipose	M10	FKBP3	yes
Adipose	M10	FKBP9	no
Adipose	M10	FKRP	no
Adipose	M10	FKSG30	no
Adipose	M10	FKTN	no
Adipose	M10	FLJ10986	no
Adipose	M10	FLJ14107	no
Adipose	M10	FLJ20273	yes
Adipose	M10	FLJ20581	no
Adipose	M10	FLJ22795	no
Adipose	M10	FLJ25037	no
Adipose	M10	FLJ31568	no
Adipose	M10	FLJ32810	no
Adipose	M10	FLJ32955	no
Adipose	M10	FLJ36492	no
Adipose	M10	FLJ38723	no
Adipose	M10	FLJ38973	no
Adipose	M10	FLJ40113	no
Adipose	M10	FLJ40852	no
Adipose	M10	FLJ42258	no
Adipose	M10	FLJ43663	no
Adipose	M10	FLJ45202	no
Adipose	M10	FLJ45513	no
Adipose	M10	FLJ46552	no
Adipose	M10	FLYWCH2	no
Adipose	M10	FMO1	no
Adipose	M10	FMO4	no
Adipose	M10	FNIP2	no
Adipose	M10	FOXK1	no
Adipose	M10	FOXP2	no
Adipose	M10	FREM1	no
Adipose	M10	FRG1	yes
Adipose	M10	FRY	no
Adipose	M10	FTH1	no
Adipose	M10	FTHL11	yes
Adipose	M10	FTHL12	yes
Adipose	M10	FTHL2	yes
Adipose	M10	FTHL3	yes
Adipose	M10	FTHL8	yes
Adipose	M10	FTSJ3	no
Adipose	M10	FUT8	no
Adipose	M10	FYTTD1	yes
Adipose	M10	FZD4	no
Adipose	M10	G0S2	no
Adipose	M10	G3BP1	yes
Adipose	M10	GABARAPL2	no
Adipose	M10	GADD45B	no
Adipose	M10	GADD45GIP1	no
Adipose	M10	GALNT1	no
Adipose	M10	GALNT11	no
Adipose	M10	GALNTL4	no
Adipose	M10	GATA3	no
Adipose	M10	GBP3	no
Adipose	M10	GCC2	no
Adipose	M10	GCLC	no
Adipose	M10	GCSH	no
Adipose	M10	GDAP1	no
Adipose	M10	GDF11	no
Adipose	M10	GDI2	no
Adipose	M10	GEM	no
Adipose	M10	GEMIN5	no
Adipose	M10	GGA3	no
Adipose	M10	GGT3	no
Adipose	M10	GHR	no
Adipose	M10	GIGYF2	no
Adipose	M10	GIMAP4	no
Adipose	M10	GIMAP5	no
Adipose	M10	GIMAP6	no
Adipose	M10	GIMAP7	no
Adipose	M10	GIMAP8	no
Adipose	M10	GIYD1	no
Adipose	M10	GKAP1	yes
Adipose	M10	GLI3	no
Adipose	M10	GLOD4	no
Adipose	M10	GLRX2	yes
Adipose	M10	GLRX5	no
Adipose	M10	GLTPD1	no
Adipose	M10	GLUL	no
Adipose	M10	GNA11	no
Adipose	M10	GNA14	no
Adipose	M10	GNAZ	no
Adipose	M10	GNG10	no
Adipose	M10	GNL3	no
Adipose	M10	GNPTAB	no
Adipose	M10	GNRH1	no
Adipose	M10	GOLM1	no
Adipose	M10	GOLT1B	no
Adipose	M10	GOPC	no
Adipose	M10	GOSR1	no
Adipose	M10	GOT2	no
Adipose	M10	GP1BA	no
Adipose	M10	GPATCH1	no
Adipose	M10	GPATCH3	no
Adipose	M10	GPATCH4	no
Adipose	M10	GPATCH8	no
Adipose	M10	GPBP1L1	no
Adipose	M10	GPI	no
Adipose	M10	GPN3	no
Adipose	M10	GPR125	no
Adipose	M10	GPR156	no
Adipose	M10	GPR182	no
Adipose	M10	GPR34	no
Adipose	M10	GPR65	no
Adipose	M10	GPR81	no
Adipose	M10	GPRASP1	no
Adipose	M10	GPRASP2	no
Adipose	M10	GRINL1A	no
Adipose	M10	GRIP2	no
Adipose	M10	GSTCD	no
Adipose	M10	GSTK1	no
Adipose	M10	GTF2B	no
Adipose	M10	GTF2E2	no
Adipose	M10	GTF2H1	no
Adipose	M10	GTF2H4	no
Adipose	M10	GTF2IRD1	no
Adipose	M10	GTF2IRD2B	no
Adipose	M10	GTF3C2	no
Adipose	M10	GTPBP2	no
Adipose	M10	GULP1	no
Adipose	M10	GUSBL1	no
Adipose	M10	GXYLT1	no
Adipose	M10	GYG2	no
Adipose	M10	HACE1	no
Adipose	M10	HAT1	yes
Adipose	M10	HCFC2	no
Adipose	M10	HCN3	no
Adipose	M10	HCN4	no
Adipose	M10	HCRTR2	no
Adipose	M10	HDHD3	no
Adipose	M10	HDLBP	no
Adipose	M10	HEATR6	no
Adipose	M10	HERC3	no
Adipose	M10	HERPUD1	no
Adipose	M10	HEXDC	no
Adipose	M10	HIF1A	yes
Adipose	M10	HIGD1B	no
Adipose	M10	HINFP	no
Adipose	M10	HINT2	no
Adipose	M10	HIP1	no
Adipose	M10	HIRA	no
Adipose	M10	HIST1H2BC	no
Adipose	M10	HIST1H2BE	no
Adipose	M10	HIST1H4K	no
Adipose	M10	HIST2H2BF	no
Adipose	M10	HIVEP2	no
Adipose	M10	HK1	no
Adipose	M10	HLA.E	no
Adipose	M10	HLCS	no
Adipose	M10	HMG20A	no
Adipose	M10	HMGN2	no
Adipose	M10	HNRNPA1L2	no
Adipose	M10	HNRNPA3	no
Adipose	M10	HNRNPH1	no
Adipose	M10	HNRNPH2	no
Adipose	M10	HNRNPK	yes
Adipose	M10	HNRNPL	no
Adipose	M10	HNRNPM	no
Adipose	M10	HNRPH1	no
Adipose	M10	HNRPLL	no
Adipose	M10	HNRPR	no
Adipose	M10	HOXA2	no
Adipose	M10	HOXC10	no
Adipose	M10	HP1BP3	no
Adipose	M10	HRASLS3	no
Adipose	M10	HRIHFB2122	no
Adipose	M10	HS2ST1	no
Adipose	M10	HSD17B7P2	no
Adipose	M10	HSPA13	no
Adipose	M10	HSPA4	no
Adipose	M10	HSPB1	no
Adipose	M10	HSPB6	yes
Adipose	M10	HSPBL2	no
Adipose	M10	HTATIP2	no
Adipose	M10	HUS1B	no
Adipose	M10	IBTK	yes
Adipose	M10	ID2	no
Adipose	M10	ID4	no
Adipose	M10	IDH3G	no
Adipose	M10	IDI1	no
Adipose	M10	IER3IP1	no
Adipose	M10	IFNGR1	no
Adipose	M10	IFNGR2	no
Adipose	M10	IFP38	no
Adipose	M10	IFT20	no
Adipose	M10	IFT52	no
Adipose	M10	IFT74	no
Adipose	M10	IFT88	no
Adipose	M10	IGFBP3	no
Adipose	M10	IGFBPL1	no
Adipose	M10	IKBIP	no
Adipose	M10	IMAA	no
Adipose	M10	INO80B	no
Adipose	M10	INPP5B	no
Adipose	M10	INTS12	no
Adipose	M10	INTS2	no
Adipose	M10	INTS3	no
Adipose	M10	INTS7	no
Adipose	M10	INTS8	no
Adipose	M10	INVS	no
Adipose	M10	IP6K1	no
Adipose	M10	IPO7	no
Adipose	M10	IPO9	no
Adipose	M10	IQGAP1	yes
